name,value,vary,lower,upper,stage,note
Tm1,298,1,293,340,1,thermo stage1
Tm2,308,1,300,360,1,thermo stage1
Tm3,318,1,305,380,1,thermo stage1
dH1,-20000,1,-50000,-1000,1,thermo stage1
dH2,-28000,1,-50000,-1000,1,thermo stage1
dH3,-35000,1,-50000,-1000,1,thermo stage1
C11,0.0,1,-10,10,2,init from preprocessing and refit in stage2
C12,0.3,1,-10,10,1,fit in stage1
C13,0.3,1,-10,10,1,fit in stage1
C14,0.0,1,-10,10,2,init from preprocessing and refit in stage2
C21,0.0,1,-10,10,2,init from preprocessing and refit in stage2
C22,0.3,1,-10,10,1,fit in stage1
C23,0.3,1,-10,10,1,fit in stage1
C24,0.0,1,-10,10,2,init from preprocessing and refit in stage2
C31,0.0,1,-10,10,2,init from preprocessing and refit in stage2
C32,0.3,1,-10,10,1,fit in stage1
C33,0.3,1,-10,10,1,fit in stage1
C34,0.0,1,-10,10,2,init from preprocessing and refit in stage2
C41,0.0,1,-10,10,2,init from preprocessing and refit in stage2
C42,0.3,1,-10,10,1,fit in stage1
C43,0.3,1,-10,10,1,fit in stage1
C44,0.0,1,-10,10,2,init from preprocessing and refit in stage2
