name,value,vary,lower,upper,stage,note
Tm1,324.213601320827,1,300,380,1,thermo stage1
Tm2,359.18302529011277,1,330,400,1,thermo stage1
dH1,-13052.188718116606,1,-100000,-1000,1,thermo stage1
dH2,-58145.73751525357,1,-150000,-1000,1,thermo stage1
C11,-0.18078004535108166,1,-3,3,2,init from preprocessing
C12,-0.17361540226402877,1,-3,3,both,fit1 and fit2
C13,-0.0030996308881232845,1,-3,3,2,init from preprocessing
C21,0.06670419135201976,1,-3,3,2,init from preprocessing
C22,-0.011391519103191498,1,-3,3,both,fit1 and fit2
C23,-0.4304260417641636,1,-3,3,2,init from preprocessing
C31,0.34168928310778524,1,-3,3,2,init from preprocessing
C32,-0.3832539497203723,1,-3,3,both,fit1 and fit2
C33,0.16490629749223187,1,-3,3,2,init from preprocessing
